1A	Non-learnable
2A	Non-learnable
3A	Non-learnable
4A	Non-learnable
5A	Non-learnable
6A	Non-learnable
9A	Non-learnable
11A	Non-learnable
12A	Non-learnable
14A	Non-learnable
15A	Non-learnable
16A	Non-learnable
17A	Non-learnable
19A	Non-learnable
21A	Non-learnable
21B	Non-learnable
22A	Non-learnable
23A	Non-learnable
24A	Non-learnable
25A	Non-learnable
26A	Non-learnable
27A	Non-learnable
29A	Non-learnable
30A	Partially Non-learnable
31A	Partially Non-learnable
32A	Partially Non-learnable
34A	Partially Non-learnable
35A	Partially Non-learnable
36A	Partially Non-learnable
37A	Partially Non-learnable
38A	Partially Non-learnable
41A	Partially Non-learnable
43A	Partially Non-learnable
44A	Partially Non-learnable
45A	Partially Non-learnable
46A	Partially Non-learnable
47A	Partially Non-learnable
48A	Partially Non-learnable
49A	Partially Non-learnable
50A	Partially Non-learnable
51A	Partially Non-learnable
52A	Partially Non-learnable
53A	Partially Non-learnable
54A	Partially Non-learnable
57A	Partially Non-learnable
62A	Partially Non-learnable
65A	Partially Non-learnable
66A	Partially Non-learnable
67A	Partially Non-learnable
68A	Partially Non-learnable
69A	Non-learnable
70A	Non-learnable
71A	Partially Non-learnable
72A	Partially Non-learnable
74A	Partially Non-learnable
75A	Partially Non-learnable
76A	Partially Non-learnable
77A	Partially Non-learnable
78A	Partially Non-learnable
79A	Non-learnable
79B	Non-learnable
81A	Syntax
82A	Syntax
83A	Syntax
84A	Syntax
85A	Syntax
86A	Syntax
87A	Syntax
88A	Syntax
92A	Syntax
93A	Syntax
95A	Syntax
96A	Syntax
97A	Syntax
98A	Partially Non-learnable
101A	Partially Non-learnable
102A	Partially Non-learnable
103A	Partially Non-learnable
104A	Non-learnable
106A	Syntax
110A	Syntax
111A	Partially Non-learnable
112A	Partially Non-learnable
113A	Syntax
114A	Syntax
115A	Partially Non-learnable
116A	Partially Non-learnable
117A	Partially Non-learnable
118A	Partially Non-learnable
119A	Partially Non-learnable
120A	Partially Non-learnable
121A	Syntax
122A	Syntax
124A	Partially Non-learnable
125A	Syntax
126A	Syntax
127A	Syntax
128A	Syntax
129A	Lexicon
136A	Non-learnable
138A	Lexicon
142A	Non-learnable
143A	Partially Non-learnable
143F	Partially Non-learnable
144A	Partially Non-learnable
144B	Syntax
144D	Partially Non-learnable
144I	Partially Non-learnable
144J	Partially Non-learnable
144K	Partially Non-learnable